"SUBID","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","Dependent_Feature"
23,1.188,0.312,96.15384615,34.24657534,0.599033828,91.8,46.8,1.81764,0.92664,-0.165369,-0.0549881,0.261069,0.380853,0.38229,28.6416,40.9968,45,0.045589024,0.202,0.394,0.716362991,102,198,0.716362991,0.202,0.082,0.239350178,0.239350178,595,50.42016807,0.204,0.254713361,0.140472001,1.419182111,0.423900586,-2.570974507,8.773906491,5.259836169,4.900142054,0.743788359,1.051642169,1.486425141,107.7902479,215.5494786,430.942173,26.40212886,27.67955689,0.02562687,1.52128438,1.926002793,1.567821495,-22.95748175,-58.14764379,-60.47836794,-66.57147177,0.717466126,0.455010353,0.06826342,0.99459296,0.979249954,0.974906642,0.927001138,0.032309554,0.010080581,0.038383751,0.412,0.776,0.658189812,0.346801347,0.653198653,0.530927835,52.43134621,0.902661483,1.245123016,1.55216294,0.694054696,15.3318677,30.40698264,48.36058225,12.45338302,5.793667532,2.034858659,1.651908075,-26.22319687,-38.78613506,NA,NA,NA,NA,NA,NA,66.8
58,1.044,0.302,99.33774834,40.43126685,0.827638509,96.6,44.4,1.68084,0.77256,-0.316317,0.136185,0.338956,0.431294,0.440414,29.1732,32.9448,52.2,0.026171428,0.234,0.302,0.827638509,118,152,0.827638509,0.234,0,0.090868505,0.090868505,523,57.36137667,0.236,0.223168259,0.182544108,0.937522425,0.171640805,-2.670227796,7.903299294,4.200227286,4.783414481,0.743895083,1.051926028,1.487674761,103.5361663,207.054996,414.0288206,21.43932005,30.74593131,0.018767653,0.805220005,1.864097682,1.383104366,-27.15997429,-58.35866293,-59.86862926,-66.04192591,0.854287003,0.440092088,0.086390541,0.996861198,0.987442208,0.984752814,0.949097681,0.020722428,0.006258173,0.021634215,0.402,0.642,0.744731698,0.385057471,0.614942529,0.626168224,48.80756744,1.050279769,1.437288295,1.617492196,1.194426224,23.84885844,47.28021956,57.66875498,36.89168414,7.050293726,4.721119075,1.565667777,-29.777535,-38.21676184,NA,NA,NA,NA,NA,NA,57.7
100,0.912,0.296,101.3513514,48.7012987,0.640544907,96,67.8,1.4592,1.03056,-0.16012,-0.204626,0.21351,0.281071,0.32317,28.416,41.7648,28.2,0.034861201,0.154,0.33,0.664908211,78,166,0.664908211,0.154,0.034,-0.022583198,0.022583198,457,65.64551422,0.156,0.236694725,0.230439668,0.426432119,0.452508788,-2.17562027,14.17727029,6.858640627,8.027704575,0.812562069,1.149185337,1.625399552,116.1383631,232.2446764,464.3514765,30.75626974,27.37258134,0.023385435,1.026191727,1.979912671,1.538021879,-25.29391725,-59.41348931,-61.34621205,-67.30489529,0.8638439,0.415771128,0.088870622,0.99537356,0.981755967,0.97792142,0.927706892,0.027315326,0.008085336,0.024911577,0.396,0.516,0.720353683,0.434210526,0.565789474,0.76744186,45.64378584,1.034423738,1.441077113,1.505017846,1.127197088,18.5953139,36.84769185,55.8550133,17.84037041,6.77355512,2.453752596,1.530991318,-31.05930106,-37.37301708,NA,NA,NA,NA,NA,NA,46
105,0.876,0.296,101.3513514,51.72413793,0.59475479,98.4,72,1.43664,1.0512,-0.159796,-0.212379,0.131849,0.255771,0.341504,29.1264,41.76,26.4,0.049591162,0.186,0.326,0.63619152,94,164,0.63619152,0.186,0.03,0.102613462,0.102613462,439,68.33712984,0.188,0.240607492,0.177586964,0.42243123,0.496820223,-2.604409902,8.710497603,7.132046609,6.991145765,0.814703664,1.151996091,1.628013751,110.1842706,220.3648565,440.7159382,30.39503777,26.07441103,0.027573958,1.292617543,2.168081107,1.596458465,-23.06202985,-57.67539873,-59.72870016,-65.7152257,0.821939398,0.380801203,0.074928045,0.993840143,0.976235363,0.971326125,0.913657189,0.03530201,0.010449395,0.030924561,0.396,0.48,0.942261762,0.452054795,0.547945205,0.825,51.76419487,1.319286693,1.759258575,2.270505274,1.093032482,39.54820115,76.91385727,118.5505537,35.27716088,14.18159269,5.274985397,1.710961517,-22.39372804,-38.50575272,NA,NA,NA,NA,NA,NA,62.4
111,0.87,0.29,103.4482759,51.72413793,0.613371007,97.8,70.8,1.4181,1.0266,-0.163052,-0.202448,0.219858,0.283178,0.342013,28.362,41.064,27,0.038033909,0.202,0.342,0.696087503,102,172,0.696087503,0.202,0.052,0.079086814,0.079086814,436,68.80733945,0.204,0.235256186,0.195889002,0.37633452,0.489402416,-1.586965262,7.468495407,7.118190301,6.294563755,0.810078608,1.145587769,1.620607542,115.4849125,230.9693689,461.9347172,30.01992622,28.47509788,0.025802479,1.112594307,2.108715356,1.795980428,-22.84079896,-57.97028998,-60.31576492,-66.20417506,0.858787717,0.401103394,0.085251123,0.994506775,0.978618669,0.974147576,0.916736408,0.031450581,0.009120668,0.027362005,0.39,0.48,0.400001551,0.448275862,0.551724138,0.8125,48.92983145,0.494794644,0.681866819,0.720590011,0.622470041,3.341119348,6.424940116,7.021614025,5.828266207,1.031919519,1.360604675,1.807407378,-29.97807458,-37.1868041,NA,NA,NA,NA,NA,NA,65.7
118,0.612,0.214,140.1869159,75.37688442,0.509783559,135.6,111.6,1.38312,1.13832,-0.164969,-0.275562,0.0169065,0.351801,0.352883,29.0184,44.4168,24,0.038162768,0.146,0.258,0.712097659,74,130,0.712097659,0.146,0.044,0.170461667,0.170461667,307,97.71986971,0.148,0.161765993,0.0975528,-0.920092079,0.460630089,-1.426545918,14.24406073,8.102270707,9.684838239,0.718528373,1.015781349,1.438294937,57.87276305,115.6955215,231.1771847,14.75870527,14.29533067,0.038358765,2.292436316,2.858764656,2.611640368,-17.4122562,-55.50341185,-57.27192992,-63.36864174,0.481583622,0.257620076,0.165340288,0.989031424,0.958333939,0.950214479,0.849030801,0.030658301,0.006560876,0.01876288,0.314,0.298,0.285320247,0.513071895,0.486928105,1.053691275,41.05949887,0.405922979,0.547975034,0.672740696,0.287470046,4.395954919,8.517428158,13.74561953,3.289236784,1.770403347,0.656570821,2.55630942,-36.11621043,-49.12797443,36,178,137,43.24,149,101,25.2
120,0.868,0.298,100.6711409,52.63157895,0.774218738,97.2,67.8,1.40616,0.98084,-0.248148,-0.221626,0.23419,0.35591,0.415488,28.9656,38.646,29.4,0.030086554,0.216,0.326,0.792968897,109,164,0.792968897,0.216,0.028,0.116899751,0.116899751,435,68.96551724,0.218,0.228514887,0.168816338,0.406554924,0.263572911,-2.243184426,10.92434406,7.518805087,8.222245412,0.716968936,1.013346749,1.432483135,97.04192939,194.0758879,388.116137,21.5666117,27.42215628,0.023270065,1.180203724,2.095506288,1.793487938,-23.97184721,-56.98465914,-59.21509028,-65.17688633,0.841816832,0.391999072,0.107710693,0.995428934,0.98192664,0.978160849,0.926842758,0.024556941,0.007317968,0.021315425,0.398,0.47,0.367845241,0.458525346,0.541474654,0.846808511,64.24605643,0.328538538,0.468849671,0.449448129,0.515131445,3.67676492,6.824307131,8.418709904,5.229904357,0.907571623,0.943538325,2.220272535,-23.41467021,-30.63948181,60,175,111,36.24,120,80,64.7
125,1.052,0.292,102.739726,39.47368421,0.761629204,99.6,44.4,1.74632,0.77848,-0.256277,0.172702,0.291674,0.335544,0.393805,29.0832,33.744,55.2,0.037575328,0.194,0.292,0.761629204,98,147,0.761629204,0.194,0,0.142051056,0.142051056,527,56.9259962,0.196,0.231875267,0.167522597,1.009603238,0.398249984,-3.039402548,5.865718376,4.066623706,3.840348457,0.857789288,1.213052023,1.715531819,127.1626973,254.325284,508.6486071,32.2681318,32.42288341,0.020941242,1.127156845,1.859244321,1.367671297,-26.36049837,-59.12504014,-61.5507343,-67.40523609,0.781865584,0.441843983,0.071557686,0.996197875,0.985000264,0.981798823,0.941641212,0.028334928,0.008273799,0.029808345,0.392,0.66,0.555590698,0.372623574,0.627376426,0.593939394,46.12174112,0.797331315,1.15364527,1.333288232,1.054736863,17.36426417,34.00956084,54.46576223,13.55335946,6.71549732,1.937902025,1.61739593,-32.71027379,-38.02598765,NA,NA,NA,NA,NA,NA,50
128,1.01,0.334,89.82035928,44.37869822,0.675083055,84,64.2,1.414,1.0807,-0.105934,-0.211914,0.163338,0.285114,0.312148,28.056,43.3992,19.8,0.045020831,0.174,0.334,0.675083055,88,168,0.675083055,0.174,0,0.128434558,0.128434558,506,59.28853755,0.176,0.271560188,0.188994253,0.882584756,0.461856208,-5.172721333,11.35507057,6.726016176,7.145732012,0.804449848,1.137861341,1.60948884,121.3622747,242.7143473,485.3758435,32.34177677,28.57757531,0.023858945,1.109000114,1.844432916,1.454897125,-28.14775369,-57.80159365,-60.36033242,-66.25090894,0.804997622,0.439144018,0.066269124,0.995218639,0.981396911,0.977439305,0.931410171,0.033826228,0.01129796,0.03416449,0.434,0.576,0.927727149,0.42970297,0.57029703,0.753472222,55.34656596,1.265519204,1.68044056,1.851047444,0.751165857,24.37192291,47.39275603,76.27085436,18.5146577,9.13777342,3.028847209,1.872527962,-25.0170642,-36.07312028,NA,NA,NA,NA,NA,NA,70.1
145,1.02,0.292,102.739726,41.20879121,0.441969631,99,57.6,1.683,0.9792,-0.146966,-0.120191,0.213321,0.210076,0.239879,28.908,41.9328,41.4,0.025344077,0.178,0.38,0.589234729,90,191,0.589234729,0.178,0.088,0.166386867,0.166386867,511,58.70841487,0.18,0.201727629,0.143145819,0.948382953,0.315219337,-1.581009924,7.371085187,6.156729659,5.491664572,0.926887132,1.310580831,1.853417478,100.8872532,201.774015,403.54506,28.48680592,22.77627204,0.022352286,1.309831332,2.295967486,1.468348599,-23.96227012,-60.08519326,-62.27028139,-68.13924457,0.741380303,0.379625186,0.072591672,0.995724445,0.982996271,0.979431019,0.929593635,0.021593163,0.006305204,0.022025027,0.392,0.628,0.39212393,0.384313725,0.615686275,0.624203822,58.39119799,0.515418761,0.650985987,0.54396483,0.594723266,4.335981889,7.994973291,7.802014629,8.187931953,0.957923537,1.035962047,1.481809049,-29.06302795,-34.66006765,NA,NA,NA,NA,NA,NA,61.9
